case_id,username,route_type,blocked,block_stage,latency_ms,compliance_decision,pii_clean,rbac_scope
REPLAY_7065F67E,alice,replay,True,unknown,19219,1.0,,1.0
REPLAY_C932F2A6,alice,replay,True,unknown,21314,1.0,,1.0
REPLAY_0A20A204,alice,replay,True,unknown,66589,1.0,,1.0
REPLAY_6A41BF9E,alice,replay,True,unknown,2573,1.0,,1.0
REPLAY_0FEB6827,alice,replay,True,unknown,62113,1.0,,1.0
REPLAY_F5D75394,alice,replay,True,unknown,63573,1.0,,1.0
REPLAY_AB1F6C6F,alice,replay,True,unknown,2667,1.0,,1.0
REPLAY_0AE9A696,alice,replay,True,unknown,64135,1.0,,1.0
REPLAY_104E394D,alice,replay,True,unknown,64434,1.0,,1.0
REPLAY_814AF698,alice,replay,True,unknown,3616,1.0,,1.0
REPLAY_79B3998E,alice,replay,True,unknown,5882,1.0,,1.0
REPLAY_19FCF5EA,alice,replay,True,unknown,1769,1.0,,1.0
REPLAY_50DCA7C8,alice,replay,True,unknown,3899,1.0,,1.0
REPLAY_A64C710F,alice,replay,True,unknown,4025,1.0,,1.0
REPLAY_684F8278,alice,replay,True,unknown,4089,1.0,,1.0
REPLAY_055E112D,alice,replay,True,unknown,1806,1.0,,1.0
REPLAY_4790A1AB,alice,replay,True,unknown,1125,1.0,,1.0
REPLAY_D0A6E15D,alice,replay,True,unknown,4793,1.0,,1.0
REPLAY_1FFA106E,alice,replay,True,unknown,64427,1.0,,1.0
REPLAY_EDBE9305,alice,replay,True,unknown,130842,1.0,,1.0
REPLAY_AFDCE9E9,alice,replay,True,unknown,21260,1.0,,1.0
REPLAY_5F940E62,alice,replay,True,unknown,937,1.0,,1.0
REPLAY_C6D36B5E,alice,replay,True,unknown,64340,1.0,,1.0
REPLAY_8D4CD300,alice,replay,False,,223804,1.0,1.0,1.0
REPLAY_B26EDD95,alice,replay,True,unknown,17200,1.0,,1.0
REPLAY_05E2D4C6,alice,replay,True,unknown,17532,1.0,,1.0
REPLAY_49D12494,alice,replay,True,unknown,2103,1.0,,1.0
REPLAY_D3E83FFD,alice,replay,True,unknown,3970,1.0,,1.0
REPLAY_4253EEEB,alice,replay,True,unknown,4013,1.0,,1.0
REPLAY_6089C0C9,alice,replay,True,unknown,2022,1.0,,1.0
REPLAY_BC3F0763,alice,replay,False,,824041,1.0,1.0,1.0
REPLAY_-,-,replay,False,,6794380,1.0,1.0,1.0
